,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,HmG,RdG,Gp90,SCpct,Year,Season,GWA,HmA,RdA,Ap90,SOGpct,FC,FS,OFF,YC,RC,PKG,PKA,Last Name,First Name,Club Name
4217,Joao Plata,RSL,F,30,28,2478,9,12,77,33,1,3,6,0.33,11.7,2016,REG,3,8,4,0.44,42.9,13,29,7,4,0,2,3,Plata,Joao,RSL
4218,Kaká,ORL,M,24,23,1955,9,10,62,29,3,6,3,0.41,14.5,2016,REG,3,9,1,0.46,46.8,17,34,4,2,0,4,5,,Kaká,ORL
4219,Pedro Morales,VAN,M,27,26,2073,9,6,51,25,3,4,5,0.39,17.6,2016,REG,0,4,2,0.26,49.0,15,29,1,4,2,6,6,Morales,Pedro,VAN
4220,Lamar Neagle,DC,M-F,31,21,1950,9,6,51,21,3,3,6,0.42,17.6,2016,REG,0,4,2,0.28,41.2,31,26,8,2,0,2,2,Neagle,Lamar,DC
4221,David Accam,PHI,M,24,21,1935,9,5,71,28,1,6,3,0.42,12.7,2016,REG,1,3,2,0.23,39.4,28,66,20,4,0,2,2,Accam,David,PHI
4222,Maximiliano Urruti,DAL,F,30,29,2482,9,4,91,36,1,6,3,0.33,9.9,2016,REG,1,2,2,0.15,39.6,42,51,16,4,0,0,0,Urruti,Maximiliano,DAL
4223,Shkelzen Gashi,COL,M,26,25,2123,9,4,92,40,2,1,8,0.38,9.8,2016,REG,0,1,3,0.17,43.5,41,21,6,4,0,1,2,Gashi,Shkelzen,COL
4224,Roland Alberg,PHI,M,28,13,1153,9,3,47,17,3,7,2,0.7,19.1,2016,REG,1,2,1,0.23,36.2,28,32,4,2,1,4,4,Alberg,Roland,PHI
4225,Yura Movsisyan,RSL,F,29,25,2161,9,3,68,28,2,6,3,0.37,13.2,2016,REG,0,2,1,0.12,41.2,18,38,20,3,0,2,3,Movsisyan,Yura,RSL
4226,Michael Barrios,DAL,M,32,30,2454,9,2,50,26,2,3,6,0.33,18.0,2016,REG,2,2,0,0.07,52.0,23,25,12,3,0,0,0,Barrios,Michael,DAL
4227,Patrick Mullins,DC,F,21,14,1278,8,3,44,23,1,8,0,0.56,18.2,2016,REG,0,2,1,0.21,52.3,31,19,18,3,0,0,0,Mullins,Patrick,DC
4228,Clint Dempsey,SEA,M,17,17,1429,8,2,65,22,5,5,3,0.5,12.3,2016,REG,1,2,0,0.13,33.8,23,27,6,1,1,2,3,Dempsey,Clint,SEA
4229,Benny Feilhaber,LFC,M,30,28,2563,7,13,45,13,2,6,1,0.25,15.6,2016,REG,4,7,6,0.46,28.9,33,56,1,3,0,5,5,Feilhaber,Benny,LAFC
4230,Mike Grella,CLB,F,32,28,2410,7,6,40,21,2,7,0,0.26,17.5,2016,REG,0,3,3,0.22,52.5,35,16,6,7,0,0,0,Grella,Mike,CLB
4231,Juan Agudelo,NE,F,24,14,1349,7,5,52,18,1,6,1,0.47,13.5,2016,REG,1,4,1,0.33,34.6,31,24,13,5,0,0,0,Agudelo,Juan,NE
4232,Michael de Leeuw,CHI,F,18,17,1465,7,3,25,12,1,5,2,0.43,28.0,2016,REG,0,1,2,0.18,48.0,31,16,12,2,0,0,0,de Leeuw,Michael,CHI
4233,Juan Manuel Martínez,RSL,M-F,32,29,2519,7,3,47,17,1,4,3,0.25,14.9,2016,REG,2,2,1,0.11,36.2,24,80,7,1,0,0,0,Manuel Martínez,Juan,RSL
4234,CJ Sapong,PHI,F,31,29,2535,7,2,60,22,2,5,2,0.25,11.7,2016,REG,0,1,1,0.07,36.7,44,71,17,1,0,1,1,Sapong,CJ,PHI
4235,Sacha Kljestan,OCS,M,32,30,2623,6,20,40,19,0,4,2,0.21,15.0,2016,REG,7,12,8,0.69,47.5,42,38,6,3,0,1,2,Kljestan,Sacha,ORL
4236,Lee Nguyen,NE,M,33,33,2900,6,10,68,29,2,5,1,0.19,8.8,2016,REG,2,9,1,0.31,42.6,36,50,4,2,0,3,4,Nguyen,Lee,NE
4237,Ethan Finlay,MIN,M,34,27,2462,6,9,46,22,2,4,2,0.22,13.0,2016,REG,1,2,7,0.33,47.8,18,23,22,2,0,1,1,Finlay,Ethan,MIN
4238,Dominic Oduro,MTL,M,31,22,2028,6,6,34,17,2,2,4,0.27,17.6,2016,REG,3,1,5,0.27,50.0,18,43,19,2,0,0,0,Oduro,Dominic,MTL
4239,Diego Fagundez,NE,M,34,24,2237,6,6,64,22,2,4,2,0.24,9.4,2016,REG,1,3,3,0.24,34.4,17,27,3,4,0,0,0,Fagundez,Diego,NE
4240,Gyasi Zardes,CLB,F,19,17,1604,6,5,24,15,2,3,3,0.34,25.0,2016,REG,3,3,2,0.28,62.5,10,32,2,1,0,0,0,Zardes,Gyasi,CLB
4241,Mike Magee,LA,M,30,16,1467,6,4,33,18,1,4,2,0.37,18.2,2016,REG,0,4,0,0.25,54.5,15,21,3,1,0,0,0,Magee,Mike,LA
4242,Tesho Akindele,DAL,F,31,15,1514,6,4,35,17,0,3,3,0.36,17.1,2016,REG,0,2,2,0.24,48.6,14,16,7,2,0,2,2,Akindele,Tesho,DAL
4243,Dominique Badji,COL,M,27,17,1571,6,4,47,19,2,2,4,0.34,12.8,2016,REG,2,4,0,0.23,40.4,39,14,16,5,0,0,0,Badji,Dominique,COL
4244,Julio Baptista,ORL,F,23,5,729,6,3,27,9,0,2,4,0.74,22.2,2016,REG,1,1,2,0.37,33.3,6,22,1,1,0,0,1,Baptista,Julio,ORL
4245,Alvaro Saborio,DC,F,19,8,890,6,3,37,12,1,5,1,0.61,16.2,2016,REG,0,3,0,0.3,32.4,19,10,14,0,0,0,0,Saborio,Alvaro,DC
4246,Andrew Wenger,HOU,M,32,24,2062,6,3,44,19,0,4,2,0.26,13.6,2016,REG,1,3,0,0.13,43.2,27,15,6,3,0,0,0,Wenger,Andrew,HOU
4247,Giles Barnes,HOU,M,24,21,1807,6,3,51,19,3,6,0,0.3,11.8,2016,REG,0,2,1,0.15,37.3,27,33,7,1,0,0,0,Barnes,Giles,HOU
4248,Kevin Doyle,COL,F,26,24,2178,6,2,73,15,1,4,2,0.25,8.2,2016,REG,1,1,1,0.08,20.5,31,50,15,5,0,1,1,Doyle,Kevin,COL
4249,Jacob Peterson,ATL,F,21,18,1500,6,1,37,13,3,6,0,0.36,16.2,2016,REG,0,1,0,0.06,35.1,8,13,3,0,0,0,0,Peterson,Jacob,ATL
4250,Mauro Manotas,HOU,F,22,10,1054,6,1,41,18,1,5,1,0.51,14.6,2016,REG,0,1,0,0.09,43.9,11,17,9,0,0,1,1,Manotas,Mauro,HOU
4251,Adam Jahn,CLB,F,22,4,554,6,0,23,8,0,2,4,0.97,26.1,2016,REG,0,0,0,0.0,34.8,12,5,5,0,0,0,0,Jahn,Adam,CLB
4252,Mauro Diaz,DAL,M,27,24,2149,5,13,47,14,3,4,1,0.21,10.6,2016,REG,7,11,2,0.54,29.8,32,81,4,3,0,3,3,Diaz,Mauro,DAL
4253,Justin Meram,CLB,M,33,31,2605,5,13,76,27,1,4,1,0.17,6.6,2016,REG,2,8,5,0.45,35.5,21,53,13,3,0,1,1,Meram,Justin,CLB
4254,Arturo Alvarez,HOU,M,30,24,1923,5,9,39,9,1,3,2,0.23,12.8,2016,REG,0,4,5,0.42,23.1,19,12,2,2,0,0,0,Alvarez,Arturo,HOU
4255,Thomas McNamara,NYC,M,30,28,2229,5,9,40,18,1,2,3,0.2,12.5,2016,REG,5,4,5,0.36,45.0,33,28,3,5,0,0,0,McNamara,Thomas,NYCFC
4256,Christian Bolaños,VAN,M,27,23,2116,5,8,34,13,2,2,3,0.21,14.7,2016,REG,1,7,1,0.34,38.2,24,32,5,2,0,0,1,Bolaños,Christian,VAN
4257,Felipe,NY,M,33,33,2898,5,7,54,22,1,4,1,0.16,9.3,2016,REG,0,4,3,0.22,40.7,51,66,0,6,1,0,0,,Felipe,NY
4258,Kelyn Rowe,NE,M,33,32,2787,5,7,64,25,2,1,4,0.16,7.8,2016,REG,1,3,4,0.23,39.1,43,52,6,2,0,0,0,Rowe,Kelyn,NE
4259,Fabian Castillo,DAL,M-F,22,20,1752,5,5,43,20,3,3,2,0.26,11.6,2016,REG,0,3,2,0.26,46.5,28,7,23,1,0,0,0,Castillo,Fabian,DAL
4260,Justin Morrow,TOR,M,31,31,2653,5,4,15,7,1,3,2,0.17,33.3,2016,REG,0,1,3,0.14,46.7,8,16,5,5,0,0,0,Morrow,Justin,TOR
4261,Tranquillo Barnetta,PHI,M,29,25,2311,5,4,60,28,1,3,2,0.19,8.3,2016,REG,2,3,1,0.16,46.7,36,62,7,8,0,0,0,Barnetta,Tranquillo,PHI
4262,Razvan Cocis,CHI,M,30,19,1901,5,2,28,10,0,3,2,0.24,17.9,2016,REG,1,2,0,0.09,35.7,25,26,2,4,0,0,0,Cocis,Razvan,CHI
4263,Kekuta Manneh,VAN,M-F,17,13,1139,5,2,36,20,0,1,4,0.4,13.9,2016,REG,2,1,1,0.16,55.6,9,10,6,1,0,0,0,Manneh,Kekuta,VAN
4264,Alex,HOU,M,30,29,2476,5,2,42,11,1,2,3,0.18,11.9,2016,REG,0,1,1,0.07,26.2,40,55,4,8,1,0,0,,Alex,HOU
4265,Luis Solignac,CHI,F,31,24,2177,5,2,49,22,3,2,3,0.21,10.2,2016,REG,2,2,0,0.08,44.9,30,23,23,1,1,0,0,Solignac,Luis,CHI
4266,Simon Dawkins,SJ,M,29,28,2402,5,2,64,18,2,3,2,0.19,7.8,2016,REG,0,1,1,0.07,28.1,29,31,3,3,1,0,0,Dawkins,Simon,SJ
4267,Steven Mendoza,NYC,F,24,10,1139,5,1,45,10,1,4,1,0.4,11.1,2016,REG,0,0,1,0.08,22.2,13,19,1,1,0,0,0,Mendoza,Steven,NYCFC
4268,Kennedy Igboananike,CHI,F,25,20,1754,5,1,57,19,1,3,2,0.26,8.8,2016,REG,0,1,0,0.05,33.3,35,44,20,3,0,0,0,Igboananike,Kennedy,CHI
4269,Jack McInerney,LA,F,24,8,904,5,0,37,18,0,3,2,0.5,13.5,2016,REG,0,0,0,0.0,48.6,16,10,9,1,0,0,0,McInerney,Jack,LA
4270,Lloyd Sam,DC,M-F,29,26,2025,4,10,32,6,3,3,1,0.18,12.5,2016,REG,5,8,2,0.44,18.8,23,37,13,3,0,0,0,Sam,Lloyd,DC
4271,Khiry Shelton,NYC,F,22,13,1159,4,9,17,6,0,2,2,0.31,23.5,2016,REG,3,7,2,0.7,35.3,10,15,1,0,0,0,0,Shelton,Khiry,NYCFC
4272,Patrick Nyarko,DC,F-M,26,23,1828,4,8,23,7,0,2,2,0.2,17.4,2016,REG,1,7,1,0.39,30.4,19,64,12,2,0,0,0,Nyarko,Patrick,DC
4273,Nicolás Lodeiro,SEA,M,13,13,1170,4,8,33,11,0,1,3,0.31,12.1,2016,REG,2,3,5,0.62,33.3,8,44,5,5,0,0,0,Lodeiro,Nicolás,SEA
4274,Jack Harrison,NYC,F,21,17,1574,4,7,22,8,3,3,1,0.23,18.2,2016,REG,1,6,1,0.4,36.4,15,19,3,0,0,0,0,Harrison,Jack,NYCFC
4275,Javier Morales,RSL,M,29,23,2182,4,4,38,13,2,2,2,0.16,10.5,2016,REG,0,3,1,0.16,34.2,32,35,3,5,0,2,3,Morales,Javier,RSL
4276,Ricardo Clark,HOU,M,32,29,2551,4,4,43,13,0,1,3,0.14,9.3,2016,REG,1,3,1,0.14,30.2,51,27,1,4,0,0,0,Clark,Ricardo,HOU
4277,Cristian Roldan,SEA,M,33,28,2632,4,3,30,11,1,4,0,0.14,13.3,2016,REG,2,1,2,0.1,36.7,27,46,4,2,0,0,0,Roldan,Cristian,SEA
4278,Federico Higuain,CLB,M,20,18,1607,4,3,45,14,0,2,2,0.22,8.9,2016,REG,2,2,1,0.17,31.1,10,23,5,0,0,1,1,Higuain,Federico,CLB
4279,Will Bruin,SEA,F,31,18,1554,4,3,59,22,0,1,3,0.23,6.8,2016,REG,0,3,0,0.17,37.3,22,24,5,1,0,0,0,Bruin,Will,SEA
4280,Luke Mulholland,RSL,M,33,23,2028,4,2,42,9,1,1,3,0.18,9.5,2016,REG,0,0,2,0.09,21.4,54,40,1,7,0,0,0,Mulholland,Luke,RSL
4281,Fabian Espindola,DC,F,15,10,926,4,1,38,15,1,3,1,0.39,10.5,2016,REG,0,0,1,0.1,39.5,9,18,5,2,0,0,1,Espindola,Fabian,DC
4282,Nicolas Mezquida,VAN,M-F,28,17,1395,4,1,50,19,0,4,0,0.26,8.0,2016,REG,0,0,1,0.06,38.0,19,35,3,1,0,0,0,Mezquida,Nicolas,VAN
4283,Chad Marshall,SEA,D,30,30,2634,4,0,21,9,1,2,2,0.14,19.0,2016,REG,0,0,0,0.0,42.9,13,19,0,2,0,0,0,Marshall,Chad,SEA
4284,Walker Zimmerman,LFC,D,30,30,2700,4,0,28,11,3,4,0,0.13,14.3,2016,REG,0,0,0,0.0,39.3,38,20,1,4,0,0,0,Zimmerman,Walker,LAFC
4285,Steven Gerrard,LA,M,21,18,1491,3,11,32,11,1,3,0,0.18,9.4,2016,REG,1,6,5,0.66,34.4,20,15,0,2,0,0,1,Gerrard,Steven,LA
4286,Luciano Acosta,DC,M-F,31,25,2109,3,11,50,14,0,3,0,0.13,6.0,2016,REG,3,8,3,0.47,28.0,47,50,11,9,0,0,0,Acosta,Luciano,DC
4287,Andreas Ivanschitz,SEA,M,28,25,1910,3,8,36,13,0,2,1,0.14,8.3,2016,REG,3,6,2,0.38,36.1,13,30,6,5,0,0,0,Ivanschitz,Andreas,SEA
4288,Sébastien Le Toux,COL,F,32,21,1861,3,7,20,8,1,2,1,0.15,15.0,2016,REG,2,4,3,0.34,40.0,12,28,3,3,0,0,1,Le Toux,Sébastien,COL
4289,Fabian Herbers,PHI,M-F,32,13,1290,3,7,32,14,1,1,2,0.21,9.4,2016,REG,0,3,4,0.49,43.8,18,30,4,3,0,0,0,Herbers,Fabian,PHI
4290,Marlon Hairston,COL,M,21,14,1272,3,6,16,9,2,3,0,0.21,18.8,2016,REG,1,4,2,0.42,56.3,11,15,10,2,0,0,0,Hairston,Marlon,COL
4291,Dax McCarty,CHI,M,27,26,2268,3,5,24,8,2,1,2,0.12,12.5,2016,REG,0,3,2,0.2,33.3,28,37,1,3,0,0,0,McCarty,Dax,CHI
4292,Lucas Melano,POR,F,31,27,2268,3,5,44,14,1,2,1,0.12,6.8,2016,REG,0,4,1,0.2,31.8,29,21,10,1,0,0,0,Melano,Lucas,POR
4293,Cristian Maidana,HOU,M,30,21,1695,3,4,22,6,1,3,0,0.16,13.6,2016,REG,1,3,1,0.21,27.3,8,9,2,1,0,0,0,Maidana,Cristian,HOU
4294,Alberto Quintero,SJ,M,30,29,2230,3,4,28,9,0,2,1,0.12,10.7,2016,REG,3,3,1,0.16,32.1,25,81,2,4,1,0,0,Quintero,Alberto,SJ
4295,John Goossens,CHI,M,24,15,1288,3,4,32,11,1,2,1,0.21,9.4,2016,REG,0,2,2,0.28,34.4,10,17,9,0,0,0,0,Goossens,John,CHI
4296,Matteo Mancosu,MTL,F,15,7,772,3,4,33,11,1,2,1,0.35,9.1,2016,REG,2,1,3,0.47,33.3,9,14,9,1,0,0,0,Mancosu,Matteo,MTL
4297,Carlos Rivas,NY,M,21,8,799,3,4,34,7,1,0,3,0.34,8.8,2016,REG,1,1,3,0.45,20.6,19,12,4,6,0,0,0,Rivas,Carlos,NY
4298,Osvaldo Alonso,SEA,M,32,32,2826,3,4,43,11,0,0,3,0.1,7.0,2016,REG,0,3,1,0.13,25.6,51,63,0,7,1,0,0,Alonso,Osvaldo,SEA
4299,Harrison Afful,CLB,D,30,30,2567,3,3,40,13,1,2,1,0.11,7.5,2016,REG,0,2,1,0.11,32.5,27,21,6,1,1,0,0,Afful,Harrison,CLB
4300,Quincy Amarikwa,SJ,F,23,22,1699,3,3,50,12,1,2,1,0.16,6.0,2016,REG,1,1,2,0.16,24.0,55,52,16,0,0,0,0,Amarikwa,Quincy,SJ
4301,Jordan Allen,RSL,M-F,23,11,1099,3,2,15,8,1,2,1,0.25,20.0,2016,REG,1,1,1,0.16,53.3,15,19,1,1,0,0,0,Allen,Jordan,RSL
4302,Adrian Winter,ORL,M-F,13,12,975,3,2,17,7,0,2,1,0.28,17.6,2016,REG,0,2,0,0.18,41.2,18,10,0,1,0,0,0,Winter,Adrian,ORL
4303,Jermaine Jones,COL,M,9,8,725,3,2,21,9,1,3,0,0.37,14.3,2016,REG,1,1,1,0.25,42.9,21,26,4,4,0,0,0,Jones,Jermaine,COL
4304,Brek Shea,VAN,D,27,22,2003,3,2,27,9,1,1,2,0.13,11.1,2016,REG,1,2,0,0.09,33.3,27,25,2,9,0,0,0,Shea,Brek,VAN
4305,Steve Birnbaum,DC,D,26,26,2340,3,2,33,12,1,2,1,0.12,9.1,2016,REG,0,2,0,0.08,36.4,37,10,2,5,0,0,0,Birnbaum,Steve,DC
4306,Alan Gordon,LA,F,22,7,710,3,1,15,6,1,1,2,0.38,20.0,2016,REG,0,0,1,0.13,40.0,17,13,7,2,0,0,0,Gordon,Alan,LA
4307,Fatai Alashe,SJ,M,28,27,2335,3,1,19,9,2,2,1,0.12,15.8,2016,REG,0,1,0,0.04,47.4,41,23,2,8,0,0,0,Alashe,Fatai,SJ
4308,Jordan Hamilton,TOR,F,14,11,911,3,1,20,12,0,1,2,0.3,15.0,2016,REG,0,0,1,0.1,60.0,9,12,14,0,0,0,0,Hamilton,Jordan,TOR
4309,Kendall Waston,VAN,D,26,26,2266,3,1,21,10,0,3,0,0.12,14.3,2016,REG,0,1,0,0.04,47.6,43,15,0,8,3,0,0,Waston,Kendall,VAN
4310,Gonzalo Verón,NY,M-F,23,6,631,3,0,18,8,0,1,2,0.43,16.7,2016,REG,0,0,0,0.0,44.4,11,15,6,2,1,0,0,Verón,Gonzalo,NY
4311,Tosaint Ricketts,TOR,F,11,4,399,3,0,20,9,1,1,2,0.68,15.0,2016,REG,0,0,0,0.0,45.0,3,8,5,1,1,0,0,Ricketts,Tosaint,TOR
4312,Drew Moor,TOR,D,32,32,2880,3,0,21,6,2,2,1,0.09,14.3,2016,REG,0,0,0,0.0,28.6,15,29,0,3,0,0,0,Moor,Drew,TOR
4313,David Horst,RSL,D,26,24,2211,3,0,21,11,2,2,1,0.12,14.3,2016,REG,0,0,0,0.0,52.4,20,17,1,4,0,0,0,Horst,David,RSL
4314,Sebastian Hines,ORL,D,26,23,2105,3,0,27,9,0,3,0,0.13,11.1,2016,REG,0,0,0,0.0,33.3,38,12,4,7,0,0,0,Hines,Sebastian,ORL
4315,Alex Muyl,NY,F,27,18,1599,2,6,30,12,0,0,2,0.11,6.7,2016,REG,1,3,3,0.34,40.0,41,37,8,5,0,0,0,Muyl,Alex,NY
4316,Emmanuel Boateng,LA,M,26,17,1547,2,5,20,9,1,1,1,0.12,10.0,2016,REG,1,3,2,0.29,45.0,15,11,4,1,0,0,0,Boateng,Emmanuel,LA
4317,Jonathan Osorio,TOR,M,30,26,2440,2,5,24,7,2,1,1,0.07,8.3,2016,REG,1,3,2,0.18,29.2,25,30,1,2,0,0,0,Osorio,Jonathan,TOR
4318,Will Johnson,OCS,F-M,23,19,1660,2,5,32,10,0,1,1,0.11,6.3,2016,REG,0,0,5,0.27,31.3,21,23,1,4,0,0,1,Johnson,Will,ORL
4319,Kellyn Acosta,DAL,M,32,24,2328,2,5,35,9,2,2,0,0.08,5.7,2016,REG,1,3,2,0.19,25.7,38,29,1,4,0,0,0,Acosta,Kellyn,DAL
4320,Graham Zusi,SKC,D,21,18,1651,2,4,29,10,0,2,0,0.11,6.9,2016,REG,3,3,1,0.22,34.5,13,18,5,1,0,0,0,Zusi,Graham,KC
4321,Marco Pappa,COL,M,20,10,895,2,4,29,13,2,2,0,0.2,6.9,2016,REG,1,1,3,0.4,44.8,10,14,1,2,0,0,0,Pappa,Marco,COL
4322,Mauro Rosales,DAL,M,23,4,544,2,3,6,3,1,2,0,0.33,33.3,2016,REG,0,1,2,0.5,50.0,8,12,2,2,0,0,0,Rosales,Mauro,DAL
4323,Sean Davis,NY,M,21,11,1108,2,3,12,3,0,1,1,0.16,16.7,2016,REG,1,2,1,0.24,25.0,18,15,0,1,0,0,0,Davis,Sean,NY
4324,Joevin Jones,SEA,D,33,29,2547,2,3,16,5,0,1,1,0.07,12.5,2016,REG,0,0,3,0.11,31.3,29,11,1,6,0,0,0,Jones,Joevin,SEA
4325,Chris Tierney,NE,D-M,28,27,2321,2,3,19,6,0,1,1,0.08,10.5,2016,REG,1,1,2,0.12,31.6,6,9,0,1,0,0,0,Tierney,Chris,NE
4326,Harry Shipp,SEA,M,27,20,1596,2,3,25,6,0,1,1,0.11,8.0,2016,REG,0,2,1,0.17,24.0,16,14,4,2,0,0,0,Shipp,Harry,SEA
4327,Baggio Husidic,LA,M,29,16,1556,2,2,12,4,1,1,1,0.12,16.7,2016,REG,0,1,1,0.12,33.3,21,20,1,2,0,0,0,Husidic,Baggio,LA
4328,Marky Delgado,TOR,M,28,23,1995,2,2,17,5,1,1,1,0.09,11.8,2016,REG,1,0,2,0.09,29.4,30,15,3,5,0,0,0,Delgado,Marky,TOR
4329,Hassoun Camara,MTL,D,27,26,2249,2,2,19,5,1,2,0,0.08,10.5,2016,REG,0,2,0,0.08,26.3,44,15,3,6,0,0,0,Camara,Hassoun,MTL
4330,Matt Polster,CHI,M,27,24,2107,2,2,20,4,0,1,1,0.09,10.0,2016,REG,0,1,1,0.09,20.0,39,27,1,5,0,0,0,Polster,Matt,CHI
4331,Keegan Rosenberry,PHI,D,34,34,3060,2,2,21,7,1,1,1,0.06,9.5,2016,REG,0,1,1,0.06,33.3,13,17,0,0,0,0,0,Rosenberry,Keegan,PHI
4332,Lucas Ontivero,MTL,M,21,12,980,2,2,29,9,0,2,0,0.18,6.9,2016,REG,1,1,1,0.18,31.0,24,38,5,4,0,0,0,Ontivero,Lucas,MTL
4333,Ilsinho,PHI,M,25,14,1286,2,2,30,7,0,2,0,0.14,6.7,2016,REG,1,1,1,0.14,23.3,13,14,3,2,1,1,2,,Ilsinho,PHI
4334,Erik Hurtado,VAN,F-M,24,12,1230,2,2,34,8,0,1,1,0.15,5.9,2016,REG,1,1,1,0.15,23.5,30,24,10,2,0,0,0,Hurtado,Erik,VAN
4335,Cristian Techera,VAN,M,29,19,1584,2,2,43,17,0,2,0,0.11,4.7,2016,REG,0,2,0,0.11,39.5,13,29,3,3,0,1,1,Techera,Cristian,VAN
4336,Teal Bunbury,NE,F,27,19,1666,2,2,49,9,0,0,2,0.11,4.1,2016,REG,1,1,1,0.11,18.4,47,29,11,5,0,0,0,Bunbury,Teal,NE
4337,Justen Glad,RSL,D,28,27,2424,2,1,4,3,0,0,2,0.07,50.0,2016,REG,0,1,0,0.04,75.0,24,15,0,4,0,0,0,Glad,Justen,RSL
4338,Femi Hollinger-Janzen,NE,F,19,1,273,2,1,10,2,1,2,0,0.66,20.0,2016,REG,0,0,1,0.33,20.0,5,2,1,0,0,0,0,Hollinger-Janzen,Femi,NE
4339,Lawrence Olum,POR,D,19,17,1469,2,1,10,4,1,1,1,0.12,20.0,2016,REG,0,0,1,0.06,40.0,13,4,0,3,0,0,0,Olum,Lawrence,POR
4340,Axel Sjöberg,COL,D,31,31,2772,2,1,11,6,1,0,2,0.06,18.2,2016,REG,0,0,1,0.03,54.5,25,11,0,6,0,0,0,Sjöberg,Axel,COL
4341,Ken Tribbett,PHI,D,22,19,1727,2,1,12,5,0,1,1,0.1,16.7,2016,REG,0,0,1,0.05,41.7,15,28,0,4,0,0,0,Tribbett,Ken,PHI
4342,Tony Taylor,NYC,F-M,14,7,605,2,1,12,3,1,1,1,0.3,16.7,2016,REG,0,0,1,0.15,25.0,14,6,1,2,0,0,0,Taylor,Tony,NYCFC
4343,Bobby Boswell,DC,D,30,29,2632,2,1,14,10,1,1,1,0.07,14.3,2016,REG,1,1,0,0.03,71.4,24,10,1,3,0,0,0,Boswell,Bobby,DC
4344,Blas Pérez,VAN,F,22,5,754,2,1,15,5,1,2,0,0.24,13.3,2016,REG,0,1,0,0.12,33.3,26,22,2,5,0,0,0,Pérez,Blas,VAN
4345,Chad Barrett,SJ,F,20,3,531,2,1,17,7,0,1,1,0.34,11.8,2016,REG,0,0,1,0.17,41.2,4,4,8,1,0,0,0,Barrett,Chad,SJ
4346,Masato Kudo,VAN,F,17,12,894,2,1,25,14,0,2,0,0.2,8.0,2016,REG,1,1,0,0.1,56.0,12,8,11,0,0,0,0,Kudo,Masato,VAN
4347,Brad Davis,SKC,M,24,14,1300,2,1,34,11,1,2,0,0.14,5.9,2016,REG,0,0,1,0.07,32.4,10,27,5,0,0,0,0,Davis,Brad,KC
4348,Gideon Baah,NY,D,9,6,467,2,0,8,3,0,0,2,0.39,25.0,2016,REG,0,0,0,0.0,37.5,8,2,0,0,0,0,0,Baah,Gideon,NY
4349,Michael Salazar,MTL,F,17,8,711,2,0,9,5,0,2,0,0.25,22.2,2016,REG,0,0,0,0.0,55.6,17,14,1,1,0,0,0,Salazar,Michael,MTL
4350,Jordan Harvey,LFC,D,28,28,2520,2,0,10,2,0,2,0,0.07,20.0,2016,REG,0,0,0,0.0,20.0,26,24,0,2,0,0,0,Harvey,Jordan,LAFC
4351,Ronald Zubar,NY,D,21,19,1593,2,0,11,3,1,1,1,0.11,18.2,2016,REG,0,0,0,0.0,27.3,15,17,2,6,0,0,0,Zubar,Ronald,NY
4352,Victor Ulloa,DAL,M,32,18,1639,2,0,11,4,1,1,1,0.11,18.2,2016,REG,0,0,0,0.0,36.4,21,13,1,2,0,0,0,Ulloa,Victor,DAL
4353,Richie Marquez,PHI,D,33,33,2970,2,0,11,4,1,1,1,0.06,18.2,2016,REG,0,0,0,0.0,36.4,32,10,2,4,0,0,0,Marquez,Richie,PHI
4354,Vincent Nogueira,PHI,M,8,8,684,2,0,14,3,0,2,0,0.26,14.3,2016,REG,0,0,0,0.0,21.4,6,6,0,1,0,0,0,Nogueira,Vincent,PHI
4355,Jámison Olave,RSL,D,17,16,1482,2,0,14,7,2,2,0,0.12,14.3,2016,REG,0,0,0,0.0,50.0,10,15,0,2,1,0,0,Olave,Jámison,RSL
4356,Andrew Jacobson,NYC,M,26,18,1751,2,0,16,7,1,0,2,0.1,12.5,2016,REG,0,0,0,0.0,43.8,27,10,2,4,0,0,0,Jacobson,Andrew,NYCFC
4357,Rob Vincent,DC,M-F,20,12,1137,2,0,17,8,0,1,1,0.16,11.8,2016,REG,0,0,0,0.0,47.1,11,2,0,4,0,0,0,Vincent,Rob,DC
4358,Ryan Hollingshead,DAL,M-D,29,22,2024,2,0,22,8,0,2,0,0.09,9.1,2016,REG,0,0,0,0.0,36.4,36,24,3,3,0,0,0,Hollingshead,Ryan,DAL
4359,Octavio Rivero,VAN,F,12,9,757,2,0,23,15,0,1,1,0.24,8.7,2016,REG,0,0,0,0.0,65.2,25,17,7,4,0,0,0,Rivero,Octavio,VAN
4360,Tsubasa Endoh,TOR,F,21,15,1387,2,0,24,9,2,2,0,0.13,8.3,2016,REG,0,0,0,0.0,37.5,9,20,2,0,0,0,0,Endoh,Tsubasa,TOR
4361,Jared Jeffrey,DC,M,21,14,1314,2,0,24,5,0,0,2,0.14,8.3,2016,REG,0,0,0,0.0,20.8,40,3,1,5,0,0,0,Jeffrey,Jared,DC
4362,Andrea Pirlo,NYC,M,32,32,2770,1,11,26,6,1,1,0,0.03,3.8,2016,REG,4,4,7,0.36,23.1,29,33,1,4,0,0,0,Pirlo,Andrea,NYCFC
4363,Sebastian Lletget,LA,M,31,23,2057,1,8,29,8,0,0,1,0.04,3.4,2016,REG,1,4,4,0.35,27.6,20,45,3,1,0,0,0,Lletget,Sebastian,LA
